mm,N,N,V,V,C,V,V,%,%,%,%,%,mm,%,%,C,%,%
,,,,,,,,,,,,,,,,,,
Movers,,,,,,,,,,,,,,,,,,
Axial,Temp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Workspace Unsecure,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
****Waveform Information is written at start of Data Acquisition, not start of waveform.****,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Axial,Block,Step:1,Ramp to Level,Control Channel Load,Level: 0.140400,Rate: 0.100000,Channel: Load,,,,,,,,,,,
Axial,Block,Step:2,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:3,Triangle Wave,Control Channel Disp,Level1: 0.000000,Level2: 0.464000,Cycles: 20,Frequency: 0.167000,,,,,,,,,,
Axial,Block,Step:4,Dwell,Control Channel Disp,Time: 10.000000,,,,,,,,,,,,,
Axial,Block,Step:5,Ramp,Control Channel Disp,Level: 1.160000,Rate: 0.116000,,,,,,,,,,,,
Temp,Sine Wave,Control Channel Temperature,Level1: 2.0,Level2: 2.0,Frequency: 1.0,Cycles: 1000000,Start Frequency: 1.0,Done Frequency: 1.0,Done Level: 0.0,,,,,,,,,
_______________________________________________________________________________________,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
88,12.7368,12.7368,-0.922251,0.21,,,,,,,,,,,,,,
89,12.8832,12.8832,-0.899536,0.22,,,,,,,,,,,,,,
90,13.0296,13.0296,-0.876811,0.24,,,,,,,,,,,,,,
91,13.176,13.176,-0.854184,0.24,,,,,,,,,,,,,,
92,13.3224,13.3224,-0.83159,0.27,,,,,,,,,,,,,,
93,13.4688,13.4688,-0.808932,0.27,,,,,,,,,,,,,,
94,13.6152,13.6152,-0.786336,0.32,,,,,,,,,,,,,,
95,13.7616,13.7616,-0.763507,0.34,,,,,,,,,,,,,,
96,13.908,13.908,-0.740845,0.36,,,,,,,,,,,,,,
97,14.0544,14.0544,-0.718126,0.4,,,,,,,,,,,,,,
98,14.2008,14.2008,-0.695552,0.43,,,,,,,,,,,,,,
99,14.3472,14.3472,-0.672681,0.45,,,,,,,,,,,,,,
100,14.4936,14.4936,-0.650037,0.49,,,,,,,,,,,,,,
101,14.64,14.64,-0.661374,0.42,,,,,,,,,,,,,,
102,14.7864,14.7864,-0.684398,0.34,,,,,,,,,,,,,,
103,14.9328,14.9328,-0.707272,0.27,,,,,,,,,,,,,,
104,15.0792,15.0792,-0.729916,0.24,,,,,,,,,,,,,,
105,15.2256,15.2256,-0.752682,0.22,,,,,,,,,,,,,,
106,15.372,15.372,-0.775457,0.21,,,,,,,,,,,,,,
107,15.5184,15.5184,-0.79836,0.16,,,,,,,,,,,,,,
108,15.6648,15.6648,-0.820889,0.13,,,,,,,,,,,,,,
109,15.8112,15.8112,-0.843687,0.1,,,,,,,,,,,,,,
110,15.9576,15.9576,-0.866254,0.1,,,,,,,,,,,,,,
111,16.104,16.104,-0.888969,0.08,,,,,,,,,,,,,,
112,16.2504,16.2504,-0.911636,0.08,,,,,,,,,,,,,,
113,16.3968,16.3968,-0.934322,0.05,,,,,,,,,,,,,,
114,16.5432,16.5432,-0.95692,0.06,,,,,,,,,,,,,,
115,16.6896,16.6896,-0.979811,0.05,,,,,,,,,,,,,,
116,16.836,16.836,-1.002538,0.05,,,,,,,,,,,,,,
117,16.9824,16.9824,-1.025155,0.05,,,,,,,,,,,,,,
118,17.1288,17.1288,-1.047815,0.03,,,,,,,,,,,,,,
119,17.2752,17.2752,-1.070414,0.05,,,,,,,,,,,,,,
120,17.4216,17.4216,-1.09332,0.04,,,,,,,,,,,,,,
121,17.568,17.568,-1.101586,0.04,,,,,,,,,,,,,,
122,17.7144,17.7144,-1.07905,0.04,,,,,,,,,,,,,,
123,17.8608,17.8608,-1.056217,0.05,,,,,,,,,,,,,,
124,18.0072,18.0072,-1.033587,0.06,,,,,,,,,,,,,,
125,18.1536,18.1536,-1.01084,0.06,,,,,,,,,,,,,,
126,18.3,18.3,-0.988176,0.07,,,,,,,,,,,,,,
127,18.4464,18.4464,-0.965356,0.07,,,,,,,,,,,,,,
128,18.5928,18.5928,-0.942752,0.08,,,,,,,,,,,,,,
129,18.7392,18.7392,-0.92008,0.1,,,,,,,,,,,,,,
130,18.8856,18.8856,-0.897509,0.12,,,,,,,,,,,,,,
131,19.032,19.032,-0.874775,0.13,,,,,,,,,,,,,,
132,19.1784,19.1784,-0.852138,0.15,,,,,,,,,,,,,,
133,19.3248,19.3248,-0.82957,0.19,,,,,,,,,,,,,,
